Пусто|Пусто|Пусто|true
Кружки| На столе лежит 50 кружков. Каждый из кружков с одной стороны белый, с другой черный. Изначально все кружки лежат белой стороной вверх. Далее вы закрываете глаза и вам произвольным образом переворачивают 10 из них. Как, не открывая глаза, разделить кружки на две кучки так, чтобы в каждой из них было одинаковое количество черных кружков. С закрытыми глазами можно перевернуть любое количество кружков в любой кучке. | Разделите на две кучки 10 и 40 кружков, в той в которой 10, переверните все. В итоге вы получите одинаковое количество черных кружков. Для наглядности можете провести эксперимент вживую, вместо кружков используйте монеты. |true
Пчелы| Если 1/5 пчелиного роя полетела на цветы лаванды, 1/3 – на цветы липы, утроенная разность этих чисел полетела на дерево, а одна пчела продолжала летать между ароматными кетаки и малати, то сколько всего было пчел? | Всего было 15 пчел. |true
Как поделить?| Как разделить 5 яблок между пятью лицами так, чтобы каждый получил по яблоку и одно яблоко осталось в корзине.|Один человек берет яблоко вместе с корзиной.|true
Путники| Говорят, что два отца и два сына нашли на дороге, ведущей в Бомбей, три рупии (серебряные монеты) и быстро поделили их между собой, причем каждому досталось по монете. Как им удалось справиться с задачей?|Путники смогли разделить находку поровну, потому что их было трое: дед, отец и сын (или по-другому - два отца и два сына).|true
Безопасная переправа| Крестьянину нужно перевезти через реку волка, козу и капусту. Лодка небольшая: в ней может поместиться крестьянин, а с ним или только коза, или только волк, или только капуста. Но если оставить волка с козой, то волк съест козу, а если оставить козу с капустой, то коза съест капусту. Как перевез свой груз крестьянин?|Ясно, что начинать приходится с козы. Крестьянин, перевезя козу, возвращается и берет волка, которого перевозит на другой берег, где его и оставляет, но зато берет и везет обратно на первый берег козу. Здесь он оставляет ее и перевозит к волку капусту. Вслед за тем, возвратившись, он перевозит козу, и переправа оканчивается благополучно.|true
Стая уток| Летела стая уток. Одна впереди, две позади; одна позади и две впереди; одна между двумя и три в ряд. Сколько летело уток?|Летели одна за другой три утки.|true
Задача Диофанта|Найдите три числа, которые при попарном сложении дают в сумме двадцать, тридцать и сорок.|Числа 5, 15 и 25.|true
Семь сестер| Семь сестер находятся на даче, где каждая занята каким-то делом: первая сестра - читает книгу, вторая сестра - готовит еду, третья сестра - играет в шахматы, четвертая сестра - разгадывает судоку, пятая сестра - занимается стиркой, шестая сестра - ухаживает за растениями. А чем занимается седьмая сестра?|Она играет в шахматы, т.к для этой игры нужны два игрока.|true
Умные разбойники| Однажды в минуту отдыха от грабежей разбойники Атаманша, Бывалый, Балбес и Трус решили немного поразвлечься в решении задачек и головоломок. Трус с Атаманшей легко обыграли Бывалого с Балбесом. Но когда Трус сел в паре с Бывалым, то победа против Балбеса с Атаманшей досталась им уже не так легко. А когда Трус с Балбесом оказались против Бывалого с Атаманшей, то никакая из этих пар не могла победить другую. Определите, как разбойники распределяются по интеллекту.|Самый умный Трус, затем Атаманша, Бывалый и Балбес.|true
Рука любимой| Завоевав руку любимой женщины, вы всегда будете чувствовать ее в ... Где, согласно шотландской поговорке, вы будете ее чувствовать?|В кармане.|true
Клаустрофобия| Вы садитесь в поезд, который сразу после начала набора скорости должен будет въехать в туннель. В каком месте поезда вы предпочли бы находиться, если из-за клаустрофобии вы стремитесь провести в туннеле как можно меньше времени? | Последнее сиденье последнего вагона. Т.к. перед туннелем поезд только набирает скорость, то его скорость в момент въезда первого вагона будет меньше, чем в тот момент, когда заезжает последний вагон. Таким образом, находясь в конце поезда, вы проведет в туннеле минимальное время.|true
Какого цвета круг?| На столе лежат в ряд фигуры: треугольник, ромб, круг и квадрат. Цвета этих фигур - зеленый, чёрный, синий, красный. Фигура красного цвета лежит между зеленой и синей, справа от чёрной фигуры лежит ромб, круг лежит правее треугольника и ромба, причем треугольник лежит не с краю и, наконец, фигура синего цвета не лежит рядом с фигурой чёрного цвета. Какого цвета круг?|Круг синего цвета. Фигуры расположены в таком порядке: квадрат (черный), ромб (зеленый), треугольник (красный), круг (синий).|true
Кто разбил окно?| Пять мальчиков играли во дворе в футбол и разбили мячом окно.Ваня сказал: "Это или Паша, или Денис». Паша сказал: "Это сделал не я и не Вова». Митя сказал: "По-моему, один из них говорит правду, а другой - нет». А Вова сказал: "Митя, ты ошибаешься». А бабушка сидела на лавочке и всё видела. Она сказала, что только один мальчик сказал неправду, но не выдала того, кто разбил окно.|Окно разбил Денис. Неправду сказал только Митя.|true
Задача Эйнштейна| А. Эйнштейн придумал эту задачу в прошлом веке и полагал, что 98% жителей Земли не в состоянии решить ее в уме. Принадлежите ли вы к 2% самых умных людей планеты? Здесь нет никакого фокуса, только чистая логика. 1. Есть 5 домов каждый разного цвета. 2. В каждом доме живет по одному человеку отличной друг от друга национальности. 3. Каждый жилец пьет только один определенный напиток, курит определенную марку сигарет и держит определенное животное. 4. Никто из 5 человек не пьет одинаковые с другими напитки, не курит одинаковые сигареты и не держит одинаковое животное.Вопрос: кому принадлежит рыба? Подсказки: Англичанин живет в красном домеШвед держит собакуДатчанин пьет чай Зеленый дом стоит слева от белого (считайте, что эти дома стоят рядом - иначе в задаче получаются два решения) Жилец зеленого дома пьет кофе Человек, который курит Pall Mall, держит птицуЖилец из среднего дома пьет молокоЖилец из желтого дома курит Dunhill Норвежец живет в первом доме Курильщик Marlboro живет около того, кто держит кошку Человек, который содержит лошадь, живет около того, кто курит Dunhill Курильщик сигарет Winfield пьет пиво Норвежец живет около голубого домаНемец курит RothmansКурильщик Marlboro живет по соседству с человеком, который пьет воду Это всё, что необходимо для решения задачи.|Хозяин рыбы - немец.|true
